do,yr,pfx,rgn,sfx,startDate,durationDays,hab_sfx
FALSE,2010,10_7_2010,southwest,10day-45km,10/7/2010,1,-45km
TRUE,2010,10_7_2010,southeast,10day_45km,10/7/2010,1,-45km
